player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,RS,TOR,2224,1089,-2.664538148251905,.6123910585185717,-2.052147089733333,1.408263727199203,-3.861470675935227,-2.453206948736024,-1.996394219862389,-.3026558899349623,-2.299050109797351,.2481863552315806,.2481863552315806,0,-2.158266869924628,-.2007264557954162,-2.358993325720044,-.9519383052013729
Steven Adams,adamsst01,2023,RS,MEM,2391,1133,-.576117113927423,4.095741686347084,3.519624572419661,4.154869235988015,.1106418645017019,4.265511100489717,.3807571676237218,3.467229563930736,3.847986731554458,3.824759612510212,3.824759612510212,0,.041368357826561,3.526984267570004,3.568352625396566,.2842554329666103
Bam Adebayo,adebaba01,2023,RS,MIA,5191,2566,-1.91033140211094,2.679025370172042,.7686939680611014,2.196676543770512,2.588376757723779,4.785053301494291,-1.124512932523142,2.811280740363663,1.686767807840521,5.786677358215465,5.786677358215465,0,-.9756568565366419,2.75413423393474,1.778477377398098,-.3788634289598232
Ochai Agbaji,agbajoc01,2023,RS,UTA,2399,1117,-.9839323050839384,-2.261024528347014,-3.244956833430952,.8777474711408153,-.6918980283022035,.1858494428386118,-.6750707708862623,-2.044856827841179,-2.719927598727441,.017162310714722,.017162310714722,0,-.9515901506964388,-2.637130364846541,-3.58872051554298,.1426913671733931
Santi Aldama,aldamsa01,2023,RS,MEM,3608,1682,-1.150561238915595,-.1668135074349764,-1.317374746350571,-.3815499936100408,-.885304150964583,-1.266854144574624,-1.061952365063554,-.3788172009104406,-1.440769565973994,1.124310235482942,1.124310235482942,0,-1.25050911406397,.272127288964893,-.9783818250990773,.0705335636494554
Nickeil Alexander-Walker,alexani01,2023,RS,MIN,697,323,-1.232605045731229,2.468522554495652,1.235917508764424,-2.98920516427704,-.5130251906154537,-3.502230354892493,-1.659161746504985,1.982524197975287,.3233624514703015,.5054452037898146,.5054452037898146,0,-1.856164677722393,.9027854890890195,-.953379188633374,-.2047695467068595
Nickeil Alexander-Walker,alexani01,2023,RS,UTA,1122,528,.2335145405969665,4.102012743029222,4.335527283626189,-2.398836550762355,1.907811988231089,-.4910245625312659,-.3195197186961523,3.9297973278787,3.610277609182548,1.729556412715519,1.729556412715519,0,.6346638771599217,2.806152459384611,3.440816336544533,.9529366618630145
Grayson Allen,allengr01,2023,RS,MIL,4214,1972,-.2043065861883984,.4252738941119301,.2209673079235317,.0914257521716015,-.5007004342056505,-.4092746820340489,-.1523820952485491,.1966317457886444,.0442496505400952,2.821646270751765,2.821646270751765,0,.0454213062888785,.3166736274196131,.3620949337084916,.3699102368851507
Jarrett Allen,allenja01,2023,RS,CLE,4444,2208,-1.257358722332177,1.615337686846678,.3579789645145013,2.84727063625701,2.087088806194143,4.934359442451152,-.4931576008670323,1.751619829701015,1.258462228833983,4.496744969171592,4.496744969171592,0,-.1864913031821506,2.476485714387004,2.289994411204853,-.4215437149969184
Jose Alvarado,alvarjo01,2023,RS,NOP,2778,1310,.0119416383136628,1.408680613223019,1.420622251536682,-.7173441004497282,3.583947419326194,2.866603318876466,-.1340462968176811,1.918725441650179,1.784679144832498,3.041267793945783,3.041267793945783,0,-.3734953644231339,1.854773425906719,1.481278061483585,.3480854299289383
Kyle Anderson,anderky01,2023,RS,MIN,4008,1896,.0685240427703129,1.58985549661233,1.658379539382643,2.035343474232938,.8589852998900864,2.894328774123025,.5006508101162577,1.520885171937003,2.02153598205326,4.596875330611899,4.596875330611899,0,-.2495128392958667,1.507464568573061,1.257951729277195,-.4111838523000355
Giannis Antetokounmpo,antetgi01,2023,RS,MIL,4370,2024,3.817644103868093,2.433055083183361,6.250699187051454,3.27745774171049,1.654548024624019,4.932005766334509,3.906213433854359,2.359005271790678,6.265218705645037,9.455541880571484,9.455541880571484,0,3.804962773017541,1.685671839448303,5.490634612465844,1.581915478898328
Thanasis Antetokounmpo,antetth01,2023,RS,MIL,307,140,-8.274358965044149,-4.431390965949498,-12.70574993099365,-11.65535086101167,-8.202161726515277,-19.85751258752695,-9.478581554905666,-5.546742731741816,-15.02532428664748,-.8743120993420784,-.8743120993420784,0,-8.319827156112119,-6.182424519359015,-14.50225167547113,-.2863818153167357
Cole Anthony,anthoco01,2023,RS,ORL,3168,1522,2.134194701003089,-.8474426563587032,1.286752044644386,1.939757558653946,-.3551841748837294,1.584573383770216,2.257525601644303,-.7984770225693406,1.459048579074963,3.243523175978508,3.243523175978508,0,1.664611608346993,-.5832137511477476,1.081397857199245,-.7685095529502906
O.G. Anunoby,anunoog01,2023,RS,TOR,4827,2355,-.8559972092707737,2.001170903833396,1.145173694562622,.0203895120145747,3.052749198732544,3.073138710747118,-.736213925119114,2.335413200241856,1.599199275122742,5.247817374031304,5.247817374031304,0,.128514912572728,3.059528704552093,3.188043617124821,.4277389676134121
Ryan Arcidiacono,arcidry01,2023,RS,POR,318,146,-7.537852137960279,2.450136500560114,-5.087715637400164,-9.889320578618227,5.192277214926773,-4.697043363691454,-8.49944040766221,3.230612891325101,-5.268827516337109,-.1865553804648499,-.1865553804648499,0,-7.511539948110446,1.710850061495558,-5.800689886614888,-.5751851244352079
Ryan Arcidiacono,arcidry01,2023,RS,NYK,57,26,-6.347647308616318,5.305090986491247,-1.042556322125071,-16.78429334205462,14.3480900912843,-2.436203250770317,-8.966768508946236,7.498071647342704,-1.468696861603532,.0170642381331907,.0170642381331907,0,-5.673051520655505,3.803059964988926,-1.869991555666579,.4004971545092963
Deni Avdija,avdijde01,2023,RS,WAS,4198,2020,-1.955578591805884,.9178417688520901,-1.037736822953794,-.7047873843260208,-.0599351888374031,-.764722573163424,-1.811365920970511,.7869918383844978,-1.024374082586013,1.779493352952328,1.779493352952328,0,-1.475613172725055,1.183006809859086,-.2926063628659692,.0599060146879921
Deandre Ayton,aytonde01,2023,RS,PHO,4122,2004,-2.188131224569886,.4154950339260627,-1.772636190643823,-2.279426999051099,-2.136068397752508,-4.415495396803607,-2.343628953286349,-.1323326609685725,-2.475961614254921,.2789071167422841,.2789071167422841,0,-2.047611050742361,.1717059805415235,-1.875905070200838,-.461060231927596
Udoka Azubuike,azubuud01,2023,RS,UTA,601,276,-5.256780376865055,1.13108875582905,-4.125691621036005,-7.06029345882085,-1.560072342899577,-8.620365801720427,-5.979436247057789,.6862921810995176,-5.293144065958272,-.3567926209172164,-.3567926209172164,0,-6.388250297572024,-1.334915332235549,-7.723165629807573,-.3719450618071042
Marvin Bagley III,baglema01,2023,RS,DET,1976,949,-1.823001299555481,.7755489305189712,-1.04745236903651,-1.570858138118151,-2.167027160580037,-3.737885298698188,-1.8217715976972,.2747824669492426,-1.546989130747958,.5797958418489898,.5797958418489898,0,-2.076031006642174,-.6026972666336389,-2.678728273275813,-.4636366223669117
Patrick Baldwin Jr.,baldwpa01,2023,RS,GSW,455,214,-2.654820978212783,-2.594179894222317,-5.2490008724351,-6.283180084202834,-3.975305161889671,-10.2584852460925,-3.55651086847063,-3.01182489198314,-6.56833576045377,-.418635262524386,-.418635262524386,0,-1.615446068909867,-3.297477390138982,-4.912923459048849,.4206087320754217
LaMelo Ball,ballla01,2023,RS,CHA,2757,1268,1.832865991637515,-.7926853299159103,1.040180661721605,2.632360893502744,-3.331730223362082,-.699369329859338,2.222848316611147,-1.358775825159314,.8640724914518327,2.373949013939682,2.373949013939682,0,2.774405962234579,-.5021795372067186,2.272226425027861,1.547868559432036
Mo Bamba,bambamo01,2023,RS,LAL,176,81,-7.876110424229124,1.743953294975236,-6.132157129253887,-7.272415188042197,3.4709894095312,-3.801425778510997,-8.246262894589753,2.197623278155474,-6.048639616434279,-.1383157359557232,-.1383157359557232,0,-6.593788596123733,.2416814760818877,-6.352107120041846,1.476315394529194
Mo Bamba,bambamo01,2023,RS,ORL,1401,681,-.4169252138568059,-1.59258200347769,-2.009507217334496,2.613685119440474,.2514729191579839,2.865158038598458,.2152547182897861,-1.314933206961245,-1.099678488671459,.5699033167292699,.5699033167292699,0,-.1400677395618864,-1.849431821201603,-1.989499560763489,-.6146568530991892
Paolo Banchero,banchpa01,2023,RS,ORL,5096,2430,-1.472655364668455,-.9406358208342473,-2.413291185502703,-1.099889864606034,-4.538100486633833,-5.637990351239866,-1.44373516917506,-1.747825365720546,-3.191560534895606,-.5502280843288037,-.5502280843288037,0,-1.707293413303174,-1.867282329921808,-3.574575743224981,.5135337474791175
Desmond Bane,banede01,2023,RS,MEM,3893,1810,3.231994556734676,-.0832049548939167,3.14878960184076,3.68534756099726,2.054107309222025,5.739454870219285,3.503402836023056,.3066014673771272,3.810004303400184,6.085950956805605,6.085950956805605,0,3.004187238841981,.6953062756458128,3.699493514487794,.4667514987170295
Dalano Banton,bantoda01,2023,RS,TOR,540,256,-1.673214743513628,-1.597015089448716,-3.270229832962343,-6.213456398087384,-.934264312719975,-7.147720710807359,-2.729450763222639,-1.565556991614985,-4.295007754837624,-.2015828511403043,-.2015828511403043,0,-2.566976849355443,-1.001463132604809,-3.568439981960252,-.1061858275093659
Dominick Barlow,barlodo01,2023,RS,SAS,712,330,-2.944560238183068,.8802993128556299,-2.064260925327439,-4.057359839874134,-1.175008502112369,-5.232368341986502,-3.313101626472599,.6242612099565588,-2.68884041651604,.0102658535288441,.0102658535288441,0,-4.539455130620765,-.2121048859108915,-4.751560016531656,-.3069596979154956
Harrison Barnes,barneha02,2023,RS,SAC,5540,2615,.4936937623876894,.5085471766222074,1.002240939009897,1.465604491830881,-.0635197410026193,1.402084750828261,.6828321596513635,.4410310420776459,1.123863201729009,5.175670785852529,5.175670785852529,0,.6653304963101331,.1256730963699365,.7910035926800696,.1418055559303991
Scottie Barnes,barnesc01,2023,RS,TOR,5399,2626,-.3373795390964225,.4998188498098126,.1624393107133901,2.57270583701403,.6960791971543916,3.268785034168422,.23736578949631,.5590325741824758,.7963983636787857,4.732111936029401,4.732111936029401,0,.8734594545299282,1.459428253310462,2.332887707840391,-.4096620452656732
